연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
,5.15,주요 현안업무 홍보 관련 언론사 관계자 오찬,"480,000",18,맛과향,카드,
,5.15,제53회 광주시민의날 행사 관련 유관단체 관계자 만찬,"489,000",20,맛과향,카드,
,5.15,효율적 청년 창업 지원방안 논의 오찬 간담회,"109,000",6,어반레시피,카드,
,5.15,근무혁신 종합대책 회의 관련 자치구 관계자 오찬 간담,"86,000",8,연화,카드,
,5.16,대 중국 우호교류협력 강화방안 논의 간담회,"375,000",13,개화,카드,
,5.16,공감회의 문화공연 관련 공연관계자 격려 만찬 간담,"161,000",9,맛과향,카드,
,5.17,지역통합재정통계 작성 관련 자치구 관계자 간담,"179,000",8,풍암1등한우식육식당,카드,
,5.17,농산물 유통 관련 종사자와 오찬 간담회,"148,000",6,한우식당,카드,
,5.17,시책사업 홍보 언론 관계자 간담회,"202,000",8,금강,카드,
,5.17,시 주요 현안사업 홍보 관련 언론관계자 오찬 간담,"243,000",13,광양숯불구이(상무점),카드,
,5.18,주요행사 참석인사 증정용 기념품 구입,"1,760,000",,아트컴퍼니모이모,카드,
,5.18,평생교육 활성화 방안 논의 간담회,"169,000",6,꽃뜨락,카드,
,5.21,청사방호 업무 추진 관련 업무관계자 오찬 간담,"130,000",7,어촌,카드,
,5.21,자원 재활용 활성화 지원방안 논의 오찬 간담회,"198,000",10,옥과한우촌,카드,
,5.22,제53회 광주시민의날 행사 자원봉사 관계자 격려 만찬,"487,500",24,황솔촌 충장점,카드,
,5.22,광주시민의날 행사 관련 자원봉사자 격려 만찬,"80,000",7,영흥식당,카드,
,5.23,자치구 간 균형발전 방안 논의 간담회,"116,000",5,강태공회,카드,
,5.23,자치구 간 균형발전 방안 논의 간담회,"87,000",6,시민공원포차,카드,
,5.23,제3차 영화광장 운영 관련 사업관계자 만찬 간담,"126,000",6,땅끝마을 수산식품,카드,
,5.24,자치구 간 균형발전 방안 논의 간담회,"78,000",6,명송생복집,카드,
,5.24,자치구 간 균형발전 방안 논의 간담회,"70,000",3,어울림숯불구이,카드,
,5.24,시 주요 시책 협의 만찬 간담회,"214,000",8,섬진강다슬기수제비,카드,
,5.25,2018 세계청년축제 관련 운영위원 오찬 간담,"177,000",10,절골매점,카드,
,5.25,시 주요 시책 협의 만찬 간담회,"190,000",7,임가네,카드,
,5.28,자치구 경계조정 추진 관련 자문위원회 오찬 간담,"98,000",9,섬진강추어탕,카드,
,5.28,취약계층 자립기반 조성방안 논의 간담회,"200,000",9,주당,카드,
,5.28,방호업무 협조체계 구축을 위한 유관기관 관계자 오찬,"104,000",7,최주원육개장,카드,
,5.29,6.13 전국동시지방선거 관련 자치구 관계자 오찬 간담,"87,000",7,풍암1등한우식육식당,카드,
,5.29,주요 환경정책 논의 차담회,"19,400",4,그리지오,카드,
,5.29,시험장 임차업무 관련 교육기관 관계자 오찬,"87,000",5,명송생복집,카드,
,5.3,학교폭력 예방대책 추진 관계기관 오찬 간담,"228,000",10,원양,카드,
,5.3,시정현안 홍보를 위한 언론관계자 오찬 간담회,"146,000",5,송하,카드,
,5.3,광주기록원 설치 추진 관련 유관기관 관계자 만찬 간담,"150,000",6,다찌,카드,
,4.1,금호타이어 후속대책 논의 관련부서 간담회,"278,000",10,장흥,카드,
,4.2,주요 공공시설 개소 등에 따른 화환 등 구입,"1,790,000",,파초화원,카드,
,4.4,주요 현안업무 추진 부서원 등 격려 간식 구입,"460,000",,로컬푸드직매장,카드,
,4.4,직원애경사 축부의금 집행(2건),"100,000",2,소속직원,현금,
,4.1,현안업무 수행 부서원 노고 격려 만찬,"922,000",39,27년,카드,
,4.1,직원애경사 축부의금 집행(2건),"100,000",2,소속직원,현금,
,4.23,"현장근무자(청원경찰,청사경비) 노고 격려 오찬","892,000",32,원양,카드,
,4.24,내방객 접대용 차류(보성녹자) 구입,"100,000",,보성춘파다원,카드,
,4.26,시 주요 쟁점현안 논의 도시락 간담회,"73,000",25,신선한주방,카드,
,4.3,직원애경사 축부의금 집행(4건),"200,000",4,소속직원,현금,
,3.26,민생 현안 논의 오찬 간담회,"40,000",2,예향계절한정식,카드,
,3.26,송정역 주변 교통 혼잡 해소 방안 등 논의 만찬 간담회,"118,000",8,꽃뜨락,카드,
,3.28,중앙정부 지원 사업 추진 관련 관계자 간담회,"304,000",11,김명자굴국밥 외 1,카드,
,3.3,사회복지 종사자 처우개선 관련 관계자 간담회,"190,000",8,미가,카드,
,4.2,"시정협조 및 접견인사, 내방객 증정 기념품 구입","1,760,000",,"삼오액자,아트컴퍼니모이모",카드,
,4.2,주요 접견인사 응대용 물품 구입,"180,000",,흙이야기도예공방,카드,
,4.2,지역 정책개발 및 추진 관련 관계자 간담회,"433,000",20,남도마루 외 1,카드,
,4.2,주요 시정현안 홍보 관련 언론관계자 오찬 간담,"60,000",3,진도예가,카드,
,4.3,2018 세계청년축제 관련 기획단 위원 오찬 간담,"83,000",7,절골매점,카드,
,4.3,옛 전남도청 복원 실무협의회 관련 회의참석자 만찬 간담,"104,000",7,해광민어횟집,카드,
,4.3,시정 주요 현안 논의 언론 관계자 간담회,"156,500",10,풍미 외 1,카드,
,4.4,북한이탈주민 지원 관련 지역협의회 위원 간담,"210,000",12,원양,카드,
,4.4,2019년도 국비 확보 관련 관계자 간담회,"184,000",8,민소한우,카드,
,4.5,비영리 민간단체 공익사업 관련 보조금 교육관계자 간담,"89,000",6,동천장어구이 추어탕,카드,
,4.5,시민소통행정 추진을 위한 관계자 오찬 간담회,"28,000",2,강태공회,카드,
,4.6,광주역 주변 상가 활성화 방안 논의 오찬 간담회,"85,000",5,영미오리탕,카드,
,4.6,취약계층 주거환경개선 자원봉사자 격려 만찬,"246,000",10,꽃뜨락,카드,
,4.9,주요 시책 협조인사 등 증정용 기념품 구입,"1,000,000",,아트컴퍼니모이모,카드,
,4.9,시청사 내 집단시위 등 관련 유관기관 관계자 간담,"212,000",12,송오당,카드,
,4.9,지역 상권 활성화 방안 논의 오찬 간담회,"124,000",6,도계선방,카드,
,4.9,자원 재활용 사업 추진 관련 관계자 간담회,"144,500",7,칠우대패삼겹,카드,
,4.9,시민사회단체 관계자 오찬 간담회,"17,000",2,상무옛날순대,카드,
,4.1,광주지방행정동우회 업무협조 오찬 간담,"490,000",24,가화원,카드,
,4.1,합리적 노동정책 추진 방안 논의 오찬 간담회,"42,000",2,파란들,카드,
,4.1,지역 중소기업 판로확대 방안 논의 만찬 간담회,"300,000",11,무침나라,카드,
,4.1,국가 균형발전 추진 관련 관계자 오찬 간담회,"328,000",12,노조미,카드,
,4.11,광주다운 주민자치센터 관련 운영위원 오찬 간담,"141,000",10,최주원육개장,카드,
,4.11,보훈정책 추진 관련 관계자 만찬 간담회,"287,000",11,한우촌본점,카드,
,4.12,세계수영선수권대회 성공 개최 자원봉사자 격려 오찬,"112,000",11,섬진강추어탕,카드,
,4.13,사회적기업 육성방안 논의 관계자 오찬 간담회,"84,000",4,육전명가,카드,
,4.16,광주청년금융복지네트워크 관련 유관기관 관계자 오찬,"114,000",7,화순민물추어탕,카드,
,4.16,주요 시책 홍보 및 의견 교환 오찬 간담회,"48,000",4,초원식당,카드,
,4.17,국민신문고 민원처리 교육 관련 국민권익위 관계자 오찬,"40,000",4,하남,카드,
,4.17,마을공동체 사업 추진 관계자 오찬 간담회,"84,000",5,어선e,카드,
,4.17,근로자의날 특별휴가 시행 관련 유관기관 관계자 오찬,"174,000",7,매월흑염소가든,카드,
,4.18,국비사업 지원 건의 관계자 오찬 간담회,"24,000",2,온마을즉석두부,카드,
,4.18,3.1운동 및 임정수립 100주년 기념사업 추진 관계자 오찬 간담회,"215,400",12,495℃나폴리,카드,
,4.19,주요 문화정책 논의 간담회,"110,000",4,득량만회센터,카드,
,4.2,공무직 노사협의 관련 노조위원 오찬 간담,"133,000",7,풍암1등한우식육식당,카드,
,4.2,시민 참여형 축제 개최방안 논의 오찬 간담회,"40,000",4,여수계동,카드,
,4.2,산업단지 관계자 오찬 간담회,"77,000",7,옥과한우촌,카드,
,4.2,조직 역량강화 및 사기진작 방안 논의 간담회,"180,000",8,주당,카드,
,4.23,시 선거관리위원회 관계관 업무협조 오찬 간담,"170,000",5,송원고기마루,카드,
,4.23,보안 및 방첩업무 추진 관련 유관기관 관계관 만찬,"226,000",7,풍암1등한우식육식당,카드,
,4.23,자원봉사 활성화 방안 논의 오찬 간담회,"421,000",16,향초밥집,카드,
,4.23,세계지질공원 인증 관련 언론관계자 간담회,"167,000",8,염주골식육식당,카드,
,4.24,시책 협조인사 등 증정용 시 상징 기념품 구입,"1,000,000",,제일MRO오피스,카드,
,4.24,지방공무원 임용시험 추진 관련 업무협의 오찬 간담,"168,000",6,풍암1등한우식육식당,카드,
,4.24,주요 현안사업 논의 만찬 간담회,"60,000",3,다부,카드,
,4.24,전통시장 육성 및 활성화 방안 논의 간담회,"155,000",8,미스터초밥,카드,
,4.25,열린청사 운영에 따른 청사방호방안 논의 만찬 간담회,"243,000",10,대아도,카드,
,4.25,옛 전남도청 복원 지원 관련 실무협의 오찬 간담,"152,000",21,섬진강추어탕,카드,
,4.26,공무직 노조 현안 관련 업무협의 만찬 간담,"40,000",2,병풍산방,카드,
,4.26,대북 교류협력 활성화 방안 논의 오찬 간담회,"248,000",9,상무생복집,카드,
,4.26,주요 시책사업 관련 언론 관계자 간담회,"210,000",12,청수,카드,
,4.27,노동조건 유연화 방안 논의 오찬 간담회,"146,000",8,강태공회,카드,
,4.27,대중교통 편익성 제고방안 논의 오찬 간담회,"54,000",9,상무바지락칼국수,카드,
,4.3,광주시민의날 행사 추진 관련 행사기획단 오찬 간담,"100,000",8,섬진강추어탕,카드,
,4.3,생활체육시설 관계자 오찬 간담회,"167,000",7,파란들,카드,
,4.3,5.18 기념행사 관계자 간담회,"350,000",14,광양숯불구이,카드,
,4.3,지역핵심현안 추진방안 논의 관계자 간담회,"206,000",11,고려삼계탕 광화문점 외 2,카드,
,3.5,직원 애경사 축부의금(1건),"50,000",1,소속직원,현금,
,3.13,현안업무 추진 등 직원 격려 간식 구입,"757,980",152,이마트상무점 외 1,카드,
,3.14,업무협의 내방객 등 제공을 위한 다과재료 등 구입,"388,300",,로컬푸드직매장,카드,
,3.26,직원 애경사 축부의금(2건),"100,000",2,소속직원,현금,
,3.2,주요 시정현안 설명 및 시정 협조를 위한 퇴직원로 간담,"182,000",11,장흥골,카드,
,3.2,노사 상생과 협력을 위한 시노조 임원과의 만찬 간담,"355,000",12,백년미가,카드,
,3.2,청소년 관련 정책 논의 오찬 간담회,"40,000",4,우래정,카드,
,3.2,원할한 고시업무 추진을 위한 교육청 관계자 만찬 간담,"186,000",6,행복한밥상,카드,
,3.4,생활체육 활성화 방안 논의 오찬 간담회,"101,000",10,대원축산하누맘(상무점),카드,
,3.5,어린이 교통사고 예방사업 관계자 만찬 간담회,"124,000",6,향초밥집,카드,
,3.6,지역경제 동향 및 활성화를 위한 상공회의소 관계자 간담,"416,000",14,청하,카드,
,3.6,자치구의원 선거구획정위원회 운영 관련 위원회 위원과의 오찬 간담,"228,000",10,천송,카드,
,3.6,여론 정보기관 관계자 만찬 간담회,"281,000",10,청수,카드,
,3.7,시 현안사업 홍보를 위한 지방언론사 관계자 간담,"100,000",4,동경,카드,
,3.7,전일빌딩 활용 등 주요시책 설명 간담회,"192,000",8,연한정식 외 1,카드,
,3.7,시정 홍보를 위한 언론사 관계자 오찬 간담회 개최,"100,000",4,고다미,카드,
,3.8,시 현안사업 의견수렴을 위한 행정동우회 임원과의 간담,"520,000",24,진도예가,카드,
,3.8,성폭력 근절대책 마련방안 논의 오찬 간담회,"268,000",12,대원축산하누맘(상무점),카드,
,3.8,송정복합환승센터 개발사업 관련 의견 수렴 간담회,"342,000",12,원양,카드,
,3.9,공공부문 성 관련 범죄 예방 등을 위한 공공기관 관계관 간담,"239,000",9,광주정,카드,
,3.9,2019년 국비 확보를 위한 관계자 간담회,"213,000",15,진미서산게장 외 1,카드,
,3.12,유관기관 협력업무 추진 및 소통을 위한 관계기관 간담,"380,000",13,천송,카드,
,3.12,옛 전남도청 복원 실무협의회 관련 협업 TF 회의참석자 간담,"88,000",8,섬진강추어탕,카드,
,3.12,시 주요 현안사업 추진 관련 의견 청취 간담회,"78,000",4,강태공회,카드,
,3.12,청사경비 업무 추진 관련 직원 격려 오찬 간담,"296,000",14,옥과한우촌,카드,
,3.13,공무직 노동조합 단체교섭 관련 노조위원과 오찬 간담,"135,000",6,상무생복집,카드,
,3.13,전통시장 특색화 사업 추진방안 논의 오찬 간담회,"140,000",6,샹하이,카드,
,3.13,공유문화 확산 방안 논의 관계자 간담회,"301,000",12,장흥,카드,
,3.13,지방기록물관리기관 건립 관련 업무협의 만찬 간담,"154,000",6,우담정,카드,
,3.13,시 주요 현안 논의를 위한 경찰 관계자 간담,"95,000",7,최주원육개장,카드,
,3.14,시민 생활안전대책 논의 관계기관 간담회,"300,000",12,다미정,카드,
,3.14,2018 공직박람회 관련 업무협의 오찬 간담,"75,000",5,천송,카드,
,3.15,공직자 힐링캠프 추진 관련 위탁사업 관계자 오찬 간담,"168,000",9,풍암1등한우식육식당,카드,
,3.15,광주광역시청노동조합 노조임원 오찬 간담,"117,000",10,옥이네한상,카드,
,3.16,제4기 청년위원회 출범식 등 개최 관련 참여위원 다과 등 구입,"120,000",,이룸카페,카드,
,3.16,시 주요 현안 논의 오찬 간담회,"28,000",3,강태공회,카드,
,3.16,교통약자 편의 대중교통 인프라 확충방안 논의 간담회,"218,000",8,나룻배상무점,카드,
,3.16,시정현안 홍보 관련 언론관계자 오찬 간담,"111,000",4,명송생복집,카드,
,3.18,시정 주요 핵심현안 해법 모색 간담회,"168,000",7,장흥,카드,
,3.19,광주다운 주민자치센터 활성화 사업 관련 자치구 관계자 오찬 간담,"183,000",10,화순민물추어탕,카드,
,3.19,청년정책 실효성 강화방안 논의 만찬 간담회,"195,000",8,우미횟집,카드,
,3.2,주요 시정현안 홍보를 위한 언론사 관계자 오찬 간담,"220,000",8,원양,카드,
,3.2,시정 현안 논의 오찬 간담회,"309,000",10,상무생복집,카드,
,3.2,장애인 복지정책 추진 관련 관계자 간담회,"126,000",5,조도바다,카드,
,3.2,2019년도 국비확보 업무 협의 관계자 간담회,"87,000",3,남도마루,카드,
,3.21,제53회 시민의 날 행사 추진 관련 회의참석자 오찬 간담,"240,000",10,하지메,카드,
,3.21,시정 현안 논의 오찬 간담회,"76,000",3,명송생복집,카드,
,3.21,2019년도 국비확보 업무 협의 관계자 간담회,"75,000",3,마리마리,카드,
,3.21,2019년도 국비확보 업무 협의 관계자 간담회,"13,800",3,풀바셋,카드,
,3.21,2019년도 국비확보 업무 협의 관계자 간담회,"191,000",8,이도식당,카드,
,3.21,직원 인권 신장을 위한 유관기관 관계자 간담,"148,000",6,남해쭈꾸미마을,카드,
,3.22,시민의 목소리 청해듣는 날 운영 관련 시민단체 관계자 간담,"300,000",10,예향계절한정식,카드,
,3.22,문화도시 조성역량 강화방안 논의 오찬 간담회,"195,000",10,옥과한우촌,카드,
,3.22,미세먼지 저감대책 논의 전문가 오찬 간담회,"365,000",14,연한정식,카드,
,3.23,2019년도 국비확보를 위한 관계자 차담회,"25,300",2,시카프관광개발주식회사(라마다호텔),카드,
,3.23,빛고을 장학재단 정기이사회 관련 업무협의 오찬 간담,"336,000",15,풍암1등한우식육식당,카드,
,3.23,문화예술분야 정책 개발 관련 관계자 오찬 간담회,"350,000",15,한상차림,카드,
,3.26,시책추진 협조인사 증정 지역 특산품 구입,"100,000",1,루시아푸드,카드,
,3.26,현안업무 홍보를 위한 언론사 관계자 오찬 간담,"166,000",7,하지메,카드,
,3.26,금호타이어 문제 해결 방안 논의 관계자 간담회,"162,000",8,현진식당,카드,
,3.27,금호타이어 문제 해결 방안 논의 관계자 간담회,"310,000",12,다부,카드,
,3.28,주요 시책사업 홍보 관련 언론사 관계자 오찬 간담,"114,000",5,원양,카드,
,3.28,경제 현안 공유 유관기관 관계자 오찬 간담회,"446,000",15,가화원,카드,
,3.28,2018년 힐링캠프 운영 관련 사업관계자 오찬 간담,"119,000",8,최주원육개장,카드,
,3.28,공무직 노동조합 단체교섭을 위한 노조임원 관계자 간담,"178,000",7,비학산,카드,
,3.29,주민자치 활성화를 위한 주민자치협의회 임원 간담,"165,000",10,광주정,카드,
,3.29,시정 주요시책 홍보 및 논의 오찬 간담회,"255,000",10,김가원,카드,
,3.29,시정 현안 브리핑 만찬 간담회,"430,000",15,우리밥상,카드,
,3.3,지역 현안 논의 시민사회단체 관계자 오찬 간담회,"300,000",12,지유명차 광주점,카드,
,2.2,주요 시책업무 추진 부서원 격려 간식 구입,"400,000",,푸드마켓,카드,
,2.3,비서요원 현안업무 추진 노고 격려 오찬,"57,000",4,무등산생고기,카드,
,2.5,2018년 주요업무 공유 및 직원과의 대화(11일차),"430,500",,"웬디키친,이룸카페",카드,
,2.5,내방객 지급을 위한 지역 특화 기념품 구입,"2,110,000",,아트컴퍼니모이모,카드,
,2.7,현안업무 추진 부서원 격려,"136,600",,미스터피자광주상무점,카드,
,2.7,직원애경사 축부의금 집행(2건),"100,000",2,소속직원,현금,
,2.8,중앙 장기교육 입교 대상자 격려 오찬,"322,000",20,영미오리탕,카드,
,2.12,설 명절 상근직원 등 위문활동,"1,142,300",,롯데마트 등,카드,
,2.13,주요 협약식 및 접견 응대용 다과재료 등 구입,"433,870",,푸드마켓,카드,
,2.13,겨울철 제설 및 방재대책 추진 관계자 격려,"555,000",33,함평천지한우 가화원,카드,
,2.13,설 명절 소속 상근직원 위문품 구입,"19,690,000",,신흥상사(햊세상),카드,
,2.13,설 명절 현장근무자 격려품 구입,"3,780,000",,말바우시장협동조합,카드,
,2.16,설 연휴 시민생활 종합상황실 근무자 격려 오찬,"949,000",43,다원명가,카드,
,2.18,민생현안사업 관련 주요 실국장 만찬 간담회,"149,000",7,막둥이회관,카드,
,2.19,내방객 및 주요 접견인사 응대용 물품 구입,"389,000",,산에사네 등,카드,
,2.2,접견 및 내방인사 증정용 기념품 구입,"760,000",,아트컴퍼니모이모,카드,
,2.21,직원애경사 축부의금 집행(4건),"200,000",4,소속직원,현금,
,2.23,내방 및 접견 인사 증정 기념품 구입,"700,000",,미림화방,카드,
,2.1,2월중 공감회의 관계자 격려 오찬 간담회,"49,000",7,어촌,카드,
,2.1,주요 시정 현안 논의 만찬 간담회,"75,000",3,경도,카드,
,2.2,주요 시정 현안 논의 만찬 간담회,"90,000",3,향초밥집,카드,
,2.2,지역 중소기업 경쟁력 강화방안 논의 오찬 간담회,"300,000",12,다부,카드,
,2.3,현안업무 추진 부서 근무자 격려 오찬,"116,000",12,칠우대패삼겹,카드,
,2.5,소외계층 대상 자원봉사활동 수행자 격려 오찬,"500,000",20,풍미,카드,
,2.5,구직청년 교통비지원사업 TF회의 참석자 오찬 간담,"135,700",12,㈜베네레토(베르빠제),카드,
,2.5,시민생활안전대책 추진 관련기관 관계자 간담회,"460,000",18,나비야청산가자,카드,
,2.6,지역 숙원사업 추진방안 의견 청취 간담회,"50,000",2,원양,카드,
,2.6,민생 주요 현안 논의 관계자 간담회,"80,000",5,한우명가 돌가마,카드,
,2.7,친환경자동차 투자설명회 관계자 격려,"37,000",5,안뜨레,카드,
,2.7,생활공감정책모니터단 운영 관련 임원과의 만찬 간담,"258,000",9,풍암1등한우식육식당,카드,
,2.7,민생 주요 현안 논의 관계자 간담회,"58,000",4,영발원,카드,
,2.8,평창동계올림픽 한반도기 게양 관련 접대용 다과 등 구입,"252,000",,이룸카페,카드,
,2.8,공무직 노조 단체교섭 관련 노조 관계자 만찬 간담,"310,000",11,김가원,카드,
,2.8,청소년활동 강화 인프라 구축 관계자 간담회,"248,000",9,청수,카드,
,2.9,주요 현안사업 홍보를 위한 언론사 관계자 간담,"117,000",5,송원고기마루,카드,
,2.9,평창동계올림픽 지원 관계자 오찬 간담회,"201,000",16,진미청국장,카드,
,2.9,공무직 노조 단체교섭 관련 업무협의 오찬 간담,"115,000",5,명송생복집,카드,
,2.1,설 명절 시민생활현장 관계자 오찬 간담회,"74,000",5,해송생복집,카드,
,2.11,설명절 시민생활현장 관계자 오찬 간담회,"54,000",6,운천골명가,카드,
,2.12,공용차량 공유사업 추진 관련 유관기관 관계자 간담,"164,000",7,송원고기마루,카드,
,2.12,인사교류 업무 추진을 위한 유관기관 관계자 오찬 간담,"144,000",6,아리랑한정식,카드,
,2.13,2018 세계청년축제 자문회의 관련 회의참석자 만찬 간담,"164,000",6,광양숯불구이(상무점),카드,
,2.13,주요 민생시책 관련 언론 관계자 오찬 간담회,"300,000",12,상무생복집,카드,
,2.13,설명절 전통시장 장보기 관련 참여직원 오찬 간담,"47,000",6,장수왕국밥,카드,
,2.14,주요 민생현안 논의 오찬 간담회,"30,000",2,풍미,카드,
,2.14,시민생활안전 시책 논의 만찬 간담회,"250,000",10,원양,카드,
,2.14,행정동우회 관련 임원진과의 만찬 간담,"151,000",6,대아도,카드,
,2.15,지역 농수산물 유통구조 개선방안 논의 오찬 간담회,"310,000",11,다부,카드,
,2.19,시정 주요 현안 논의 오찬 간담회,"93,000",6,비학산,카드,
,2.19,518민주화운동정신 헌법전문 수록을 위한 관계자 간담회,"31,000",4,명태골사당점,카드,
,2.2,자치구 구민과의 대화 관련 유관단체 관계자 간담,"111,000",6,막둥이회관,카드,
,2.2,519민주화운동정신 헌법전문 수록을 위한 관계자 간담회,"90,000",6,어울림,카드,
,2.2,시 주요 장애인복지 정책 논의 오찬 간담회,"106,000",6,영미오리탕,카드,
,2.2,시정 핵심 현안사업 논의 만찬 간담회,"300,000",10,다미정,카드,
,2.21,마을공동체 지원사업 관계자 오찬 간담회,"210,000",10,명품한우,카드,
,2.21,도시공원 문제 해결 방안 논의 오찬 간담회,"72,000",4,명송생복집,카드,
,2.22,시청사 1인시위 대응 청사방호 관련 업무협의 오찬 간담,"55,000",5,묵은지김치찌개육부장,카드,
,2.23,지역사회 및 시정발전 협조를 위한 행정동우회 간담,"368,000",13,진도예가,카드,
,2.23,"제99주년 3.1절 민주의종 타종식 관련 유관기관,단체 관계자 간담","120,000",12,명화식육식당,카드,
,2.23,시민소통 미디어정책 강화방안 논의 만찬 간담회,"87,000",6,달뜰날회포장마차,카드,
,2.24,약물 오남용 방지대책 마련방안 논의 만찬 간담회,"380,000",14,풍미,카드,
,2.26,광주세계수영선수권대회 관계자 조찬 간담회,"78,000",6,프라도호텔,카드,
,2.26,제99주년 3.1절 기념식 관련 업무협의 오찬 간담,"151,000",10,오성속풀이,카드,
,2.26,지역 핵심현안 추진방안 협의 관계자 간담회,"7,000",2,티타임,카드,
,2.26,지역 핵심현안 추진방안 협의 관계자 간담회,"76,000",3,노조미,카드,
,2.26,시정홍보 및 현안 논의 오찬 간담회,"79,000",6,비학산,카드,
,2.26,공무직 노조 단체교섭 관련 업무협의 오찬 간담,"79,000",7,마중물추어탕,카드,
,2.27,자원봉사센터 워크숍 관련 행사관계자 오찬 간담,"175,000",8,풍암1등한우식육식당,카드,
,2.27,지역 핵심현안 추진방안 협의 관계자 간담회,"37,000",3,구이구이2호점,카드,
,2.27,시정홍보 및 현안 논의 오찬 간담회,"221,000",10,향초밥집,카드,
,2.27,정책결정과정 시민참여 활성화 방안 논의 만찬 간담회,"177,000",7,청수,카드,
,2.28,제99주년 3.1절 기념행사 관련 애국지사 위문품 구입,"55,000",1,로컬푸드직매장,카드,
,2.28,시 주요 보훈정책 논의 만찬 간담회,"285,000",11,연한정식,카드,
,2.28,시정사진 디지털화 및 DB구축 관련 업무협의 오찬 간담,"104,000",5,명송생복집,카드,
,1.2,수행 직원 격려 오찬,"36,000",3,대림정,카드,
,1.4,내방객 지급 기념품 구입,"1,230,000",,아트컴퍼니모이모,카드,
,1.4,연말연시 현안업무 추진 부서원 격려,"380,000",16,옥과한우촌,카드,
,1.4,직원애경사 축부의금 집행(1건),"50,000",,소속직원,현금,
,1.5,2018년 주요업무 공유 및 직원과의 대화(1일차),"748,000",98,"웬디키친,이룸카페",카드,
,1.5,내방객 지급을 위한 지역 특화 기념품 구입,"1,845,000",,아트컴퍼니모이모,카드,
,1.5,관할 구역 주요 기관장 취임 등에 따른 화환 구입,"1,450,000",,파초화원,카드,
,1.5,주요 기념식 화환 등 구입비 집행,"800,000",,금강산꽃백화점,카드,
,1.5,주요 시정현안 는의 간담회 참석인사 증정 기념품 구입,"400,000",,무안요,카드,
,1.5,직원애경사 축부의금 집행(1건),"50,000",,소속직원,현금,
,1.8,2018년 주요업무 공유 및 직원과의 대화(2일차),"871,200",98,"웬디키친,이룸카페",카드,
,1.9,2018년 주요업무 공유 및 직원과의 대화(3일차),"410,000",40,"웬디키친,이룸카페",카드,
,1.11,2018년 주요업무 공유 및 직원과의 대화(4일차),"955,000",93,"웬디키친,이룸카페",카드,
,1.12,2018년 주요업무 공유 및 직원과의 대화(5일차),"483,500",47,"웬디키친,이룸카페",카드,
,1.12,내방객 지급 특화 기념품 구입,"2,640,000",,아트컴퍼니모이모,카드,
,1.12,시민존중 인권행정 마인드 제고를 위한 직원과의 대화,"745,800",30,메가박스㈜ 광주상무점,카드,
,1.13,현안업무 추진 부서 직원 격려,"342,000",17,명송생복집,카드,
,1.15,2018년 주요업무 공유 및 직원과의 대화(6일차),"922,500",90,"웬디키친,이룸카페",카드,
,1.15,직원애경사 축부의금 집행(1건),"50,000",,소속직원,현금,
,1.16,2018년 주요업무 공유 및 직원과의 대화(7일차),"360,500",35,"웬디키친,이룸카페",카드,
,1.18,2018년 주요업무 공유 및 직원과의 대화(8일차),"389,500",38,"웬디키친,이룸카페",카드,
,1.18,직원애경사 축부의금 집행(2건),"100,000",,소속직원,현금,
,1.22,상병 공무원 위로 및 격려,"79,800",,상무지구이마트,카드,
,1.22,현안업무 추진 부서원 격려 오찬,"540,000",23,원양,카드,
,1.22,직원애경사 축부의금 집행(1건),"50,000",,소속직원,현금,
,1.24,내방객 지급 특화 기념품 구입,"1,140,000",,아트컴퍼니모이모,카드,
,1.26,2018년 주요업무 공유 및 직원과의 대화(9일차),"545,000",53,"웬디키친,이룸카페",카드,
,1.29,내방객 접대용 지역 명인 생산 다과재료 구입,"800,000",,남도전통음식문화연구소,카드,
,1.29,직원애경사 축부의금 집행(2건),"100,000",,소속직원,현금,
,1.3,2018년 주요업무 공유 및 직원과의 대화(10일차),"430,500",42,"웬디키친,이룸카페",카드,
,1.31,내방인사 증정용 기념품 구입,"100,000",,삼오액자,카드,
,1.31,내방객 접대용 다과 재료 등 구입,"950,000",,에이플러스마트,카드,
,1.2,옛 전남도청 복원 관련 실무협의회 참석자 만찬 간담,"497,000",18,원양,카드,
,1.3,2018년 주요업무 공유 산하기관장 오찬 간담회,"385,000",14,원양,카드,
,1.3,공정한 고시업무 추진을 위한 임용시험 면접위원 오찬 간담,"83,000",6,은송,카드,
,1.3,"시,자치구간 원활한 인사교류를 위한 자치구 인사담당자 간담","36,000",3,노안나주곰탕,카드,
,1.4,2018년 올바른 시민소통행정 추진방안 논의 만찬 간담회,"75,000",5,천하일품찜천국,카드,
,1.5,지역 재난대응체계 점검 오찬 간담회,"144,000",8,명송생복집,카드,
,1.6,지역 균형발전 방안 논의 관계자 오찬 간담회,"58,000",4,칠우대패삼겹,카드,
,1.8,시민 주도 마을자치 실현방안 논의 오찬 간담회,"24,000",2,노안나주곰탕,카드,
,1.8,광주형 협치시스템 운영 내실화 방안 논의 정책 간담회,"450,000",18,남구아구찜,카드,
,1.8,시정 현안 홍보 및 논의 오찬 간담회,"440,000",16,진도예가,카드,
,1.9,제53회 시민의 날 행사 개최 관련 유관기관 관계자 만찬 간담,"202,000",9,섬진강다슬기수제비,카드,
