연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
105,2020-09-22,부서 근무명령 등 관계자 협의 간담회,"94,600",10,바른초밥,카드,
112,2020-09-22,화요간부회의 등 시 주요현안 협의 추진비용,"200,000",40,씨티매니저,카드,
100,2020-09-23,참좋은 지방자치 정책대회 사례 논의 간담회,"373,000",12,신가네풍천장어,카드,
1,2020-07-05,직원 애경사 축부의금 집행,"50,000",1,소속직원,현금,
2,2020-07-08,AI 산업생태계 조성을 위한 AI 기업유치 관련 수행 직원 노고 격려 간담,"140,000",7,홍영재청국장,카드,
3,2020-07-09,주요 협약식 및 접견 응대용 다과재료 등 구입,"461,900",,푸드마켓 외1,카드,
4,2020-07-14,코로나19 방역대응상황 신속공개 등 노고 격려 간식 구입,"330,000",,씨티매니저,카드,
5,2020-07-16,"코로나19 극복 대응 등 현장근무자(청원경찰, 청사경비 등) 노고 격려","435,000",,수일통닭,카드,
6,2020-07-17,5.18역사공원 조성사업 추진 등 노고 격려 간담,"480,000",16,대원한우명가,카드,
7,2020-07-17,코로나19 극복 대응을 위한 현장근무자(북구 선별 진료소 및 보고서 등) 노고 격려품 구입,"760,000",110,정관장외1,카드,
8,2020-07-20,코로나19 대응 업무 담당직원 노고 격려 간담,"305,000",19,삼희불낙,카드,
9,2020-07-21,코로나19 확산방지 위한 도심지역 집중방역 담당직원 격려,"74,000",8,명품상무팥죽,카드,
10,2020-07-23,상근직원 사망에 따른 유족 위로금 지급,"200,000",1,조화명,현금,
11,2020-07-24,직원 애사 부의용품 구입(54개),"900,000",50,사랑마루협동조합,카드,
12,2020-07-25,직원 애경사 축부의금 집행,"200,000",4,소속직원,현금,
13,2020-07-27,코로나19 의료진 격려 '덕분에 챌린지' 이미지 뺏지 구입,"130,000",50,티엔청우사,카드,
14,2020-07-30,코로나19 대응 전담부서 및 현업부서 근무자 격려,"2,520,000",107,정관장,카드,
15,2020-07-30,직원 애경사 축부의금 집행,"100,000",2,소속직원,현금,
16,2020-07-30,직원 애경사 축부의금 집행,"100,000",2,소속직원,현금,
17,2020-08-03,민생경제.광주형AI등 현안업무에 노고가 많은 직원 사기진작 격려 간식 구입,"380,000",,새마을금고,카드,
18,2020-08-05,주요 협약식 및 면담.접견 등 응대용 다과재료 등 구입,"421,300",,한국야쿠르트외1,카드,
19,2020-08-07,직원 애경사 축부의금 집행,"100,000",2,소속직원,현금,
20,2020-08-08,집중호우 등 대응위해 휴일 비상근무 직원 점심 제공 격려,"366,300",40,원할머니보쌈,카드,
21,2020-08-18,비서실 내방객 접대용 다과 구입,"360,000",,푸르체,카드,
22,2020-08-30,직원 애경사 축부의금 집행,"100,000",2,소속직원,현금,
23,2020-08-30,공공시설 개소식 및 협약식 등 환경정비에 따른 화분 등 구입,"920,000",,금강산꽃백화점,카드,
24,2020-08-31,직원 애경사 축부의금 집행,"150,000",3,소속직원,현금,
25,2020-08-31,코로나19 재확산 방지 위한 방역조치 등 비상근무 부서원 격려,"220,000",,새마을금고,카드,
26,2020-08-31,주요 협약식 및 면담.접견 등 응대용 다과재료 등 구입,"362,800",,한국야쿠르트외1,카드,
