연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
16,총무과,1/27,시정현안 간담회 경비 지출(시장),주식회사 즐거운세상 인터불고 호텔지점,17,총무과,1/28
17,총무과,1/30,설 연휴 현장 및 비상근무자 격려금 지출,119종합상황실 외,18,총무과,1/31
1,총무과,11/30,행복아카데미 운영 관련 간담회 경비 지출,온돌방,2,총무과,12/1
2,총무과,12/1,2018 동성로 축제 관련 홍보간담회 경비 지출,만보가,3,총무과,12/2
3,총무과,12/1,대구커피앤드베이커리 축제 참석직원 격려,온천골,4,총무과,12/2
4,총무과,12/3,직원격려 간담회 경비 지출,무아카페,5,총무과,12/4
5,총무과,12/3,달빛혁신 성장 펀드 관련 직원 격려 간담회 경비 지출,인화반점,6,총무과,12/4
6,총무과,12/4,국비 확보 관련 간담회 경비 지출,장독대김치찌게,7,총무과,12/5
7,총무과,12/5,내방객 접대용 음료 등 구입,이마트 칠성점,8,총무과,12/6
8,총무과,12/5,내방객 접대용 음료 등 구입,오케이마트 외 1,9,총무과,12/6
9,총무과,12/8,시도간부 공무원 간담회 경비 지출,인화반점,10,총무과,12/9
10,총무과,12/9,지역 혁신 인재 양성 관련 오찬 간담회 경비 지출,무아카페,11,총무과,12/10
11,총무과,12/10,대구시정 관련 직원 격려물품비 지출,온누리상품권,12,총무과,12/11
12,총무과,12/11,명예퇴직자 등 오찬간담회 경비 지출,아라한정식,13,총무과,12/12
13,총무과,12/13,시정현안 논의를 위한 언론인 간담회 경비 지출,안압정갈비식당,14,총무과,12/14
14,총무과,12/13,퇴직자 격려 오찬 경비 지출,온돌방,15,총무과,12/14
15,총무과,12/14,시정현안 논의를 위한 간담회 경비 지출,경복궁 대구점,16,총무과,12/15
16,총무과,12/14,선배공무원과 함께 하는 홈커밍데이 다과비 지출,레드리본사회적협동조합,17,총무과,12/15
17,총무과,12/17,2018 업무추진 우수부서 격려 간담회 경비 지출,피자에땅 외 4,18,총무과,12/18
18,총무과,12/18,중국항주 해외 출장직원 격려 간담회 경비 지출,해금강,19,총무과,12/19
19,총무과,12/19,2018년 정례회 폐회에 따른 관계직원 격려 간담회 경비 지출,온돌방,20,총무과,12/20
20,총무과,12/21,직원격려 간담회 경비 지출,감미정,21,총무과,12/22
21,총무과,12/21,노사화홥 한마당 행사 참석직원 격려 간담회 경비 지출,고령촌돼지찌개,22,총무과,12/22
22,총무과,12/24,대구광역시 새마을회 간담회 경비 지출,동심각,23,총무과,12/25
23,총무과,12/27,중국 성화성 그룹 회장단 초청간담회 경비 지출,㈜32마루수성,24,총무과,12/28
24,총무과,12/27,직원격려 간담회 경비 지출,장독대김치찌게,25,총무과,12/28
25,총무과,12/27,직원 격려 간담회 경비 지출,피자에땅 외 3,26,총무과,12/28
26,총무과,12/28,대구시-성화성 업무협력 MOU 체결을 위한 간담회 경비지출,아라한정식,27,총무과,12/29
27,총무과,12/28,주요 시정현안 협의 간담회 경비 지출,㈜호텔금오산,28,총무과,12/29
28,총무과,12/28,직원 격려 간담회 경비 지출,아르떼&커피명가,29,총무과,12/29
1,총무과,10/31,주요 시정 현안 논의를 위한 간담회 경비 지출,군위(부산)휴게소,2,총무과,11/1
2,총무과,11/1,대구 국제미래자동차 엑스포 참여 직원 격려,부용,3,총무과,11/2
3,총무과,11/2,대구 경북 상생관련 직원격려,대구은행 대구시청,4,총무과,11/3
4,총무과,11/2,시 원로자문협의회 참석 직원 격려,시골어탕,5,총무과,11/3
5,총무과,11/3,제3회 전국스포츠클럽 교류대회 참석직원 격려,옻골손국수,6,총무과,11/4
6,총무과,11/8,직원 격려 간담회 경비 지출,해금강,7,총무과,11/9
7,총무과,11/9,시 체육회 회장단 만찬 간담회 경비 지출,인화반점,8,총무과,11/10
8,총무과,11/14,국회협의 관련 직원 격려 간담회 경비 지출,고반식당,9,총무과,11/15
9,총무과,11/14,내방객 접대용 음료 등 구입경비 지출,오케이,10,총무과,11/15
10,총무과,11/15,물산업클러스터 입주기엽 간담회 참석직원 격려,호텔인터불고,11,총무과,11/16
11,총무과,11/16,직원격려 간담회 경비 지출,아라한정식,12,총무과,11/17
12,총무과,11/18,시장기 생활체육 배드민턴대회 참여직원 격려,동심각,13,총무과,11/19
13,총무과,11/19,시정현안 업무 추진 간담회 참석자 격려,초원부대찌게,14,총무과,11/20
14,총무과,11/19,시정현안 업무 추진 간담회 참석자 격려,장황,15,총무과,11/20
15,총무과,11/19,직원 격려 간담회 경비 지출,명성식육식당,16,총무과,11/20
16,총무과,11/20,직원 격려 간담회 경비 지출,명성식육식당,17,총무과,11/21
17,총무과,11/21,지역경제 활성화 간담회 경비 지출,예향,18,총무과,11/22
18,총무과,11/23,2018년 하반기 대학생인턴 시티투어 참여자 급식비 지출,국립대구과학관,19,총무과,11/24
19,총무과,11/25,국회 예산 협의 간담회 참석 직원 격려,정인면옥,20,총무과,11/26
20,총무과,11/29,시정현안 업무 추진 간담회 참석자 격려,통영충무김밥,21,총무과,11/30
1,총무과,9/28,내방객 접대용 음료 구입 경비 지출(시장),롯데마트,2,총무과,9/29
2,총무과,10/1,직원 격려 간담회 경비 지출,아라한정식,3,총무과,10/2
3,총무과,10/1,건설교통국 업무보고 참석 직원 격려,장원,4,총무과,10/2
4,총무과,10/2,시도지사 교환근무 행사 참석 직원 격려,광동유통안동하휴게소,5,총무과,10/3
5,총무과,10/6,태풍대비 비상근무 직원 격려,동해복어,6,총무과,10/7
6,총무과,10/7,영남일보 창간기념 특별토론회 참석 직원 격려,제형면옥,7,총무과,10/8
7,총무과,10/8,태풍 콩레이 피해지역 방문 및 성금전달식 참여 직원 격려,시장식육식당,8,총무과,10/9
1,총무과,10/16,무형문화재 제전 개막식 참여직원 격려 간담회 경비 지출,자금성,2,총무과,10/17
2,총무과,10/18,내방객 접대용 음료 등 구입 경비 지출(시장),오케이마트,3,총무과,10/19
3,총무과,10/19,광주 세게인권 포럼 참가 직원 격려 간담회 경비 지출,달인청국장,4,총무과,10/20
4,총무과,10/19,위아자 나눔장터 관련 시정홍보 간담회 개최비용 지출,벙글벙글,5,총무과,10/20
5,총무과,10/23,경북 도민의 날 행사 참여직원 간담회 경비 지출,㈜광동유통안동하휴게소,6,총무과,10/24
6,총무과,10/23,공사 공단 출연 기관장 만찬 간담회 경비 지출,부용,7,총무과,10/24
7,총무과,10/24,시정현안 관련 언론인 간담회 경비 지출,닭올닭,8,총무과,10/25
8,총무과,10/25,비서실 직원 격려,굴마을굴국밥시청점,9,총무과,10/26
9,총무과,10/26,간부공무원 소통 공감 워크숍 소통상생 한마당 다과비 지출,한국국학진흥원,10,총무과,10/27
10,총무과,10/27,간부공무원 소통 공감 워크숍 참석자 격려 간담회 경비 지출,군위(부산)휴게소,11,총무과,10/28
11,총무과,10/27,간부공무원 소통 공감 워크숍 한마음 체육대회 다과비 지출,신라외식사업,12,총무과,10/28
12,총무과,10/29,시정현안 관련 언론인 간담회 비용 지출,감포은정복어,13,총무과,10/30
13,총무과,10/30,시정현안 관련 언론인 간담회 비용 지출,민소한우,14,총무과,10/31
14,총무과,10/31,제3회 외국인 투자 카라반 행사 참석직원 격려,윤가네식당,15,총무과,11/1
1,총무과,8/31,대구시 미래산업 관련 간담회 경비 지출,안압정갈비식당,2,총무과,9/1
2,총무과,9/3,전기화물차 도입 관련 간담회 경비 지출,키사라,3,총무과,9/4
3,총무과,9/4,여론조사 및 시정현안 논의를 위한 간담회 경비지출,온돌방,4,총무과,9/5
4,총무과,9/5,지역혁신 인재 양성 프로젝트 수립회의 참석자 격려,동해복어,5,총무과,9/6
5,총무과,9/5,직원격려 간담회 경비 지출,감미정,6,총무과,9/6
6,총무과,9/6,시정 현안 논의를 위한 홍보 간담회,안압정갈비식당,7,총무과,9/7
7,총무과,9/6,시정 현안 논의를 위한 홍보 간담회,만리장성,8,총무과,9/7
8,총무과,9/6,시정 현안 논의를 위한 홍보 간담회,온돌방,9,총무과,9/7
9,총무과,9/6,제31회 전국소방기술경연대회 및 세계소방관대회 참여 소방공무원 격려금 지출(시장),소방본부,10,총무과,9/7
10,총무과,9/7,시정 현안 논의를 위한 홍보 간담회,해초연,11,총무과,9/8
11,총무과,9/10,시의회 전현직 의장 오찬 간담회 개최,비원,12,총무과,9/11
12,총무과,9/10,추석맞이 전통시장 활성화 관련 온누리 상품권 구입비 지출,온누리상품권,13,총무과,9/11
13,총무과,9/10,민선7기 출범업무계획 보고회 참석 직원 격려,장원,14,총무과,9/11
14,총무과,9/12,국제 물주간 개회식 참석 직원 격려,국물두루치기찌개,15,총무과,9/13
15,총무과,9/13,국제물주간 행사 참석 지원 격려,국물두루치기찌개,16,총무과,9/14
16,총무과,9/14,비서실 직원 격려,촌당,17,총무과,9/15
17,총무과,9/14,국제오페라 참석 직원 격려,꿈을요리하다닭한끼침산점,18,총무과,9/15
18,총무과,9/17,대구 정책 오페라 관련 간담회 경비 지출,파티온,19,총무과,9/18
19,총무과,9/17,대구 경북 국회의원 예산협의회 참석 지원 격려,부림산채,20,총무과,9/18
20,총무과,9/20,시정 주요현안 논의 및 홍보 간담회 경비 지출,중화반점,21,총무과,9/21
21,총무과,9/20,추석맞이 현장근무자 격려물품 구입,대한적십자사 대구광역지사,22,총무과,9/21
22,총무과,9/20,추석 연휴 상황근무자 격려금(시장),119종합상황실 외 2,23,총무과,9/21
23,총무과,9/21,추석 관련 지역원로 홍보품 구입 경비 지출,약령시사람들,24,총무과,9/22
24,총무과,9/21,추석맞이 상황근무자 격려물품 구입,다운협회,25,총무과,9/22
25,총무과,9/28,물 기술 인증원 유치를 위한 간담회 경비 지출,한화호텔리조트㈜,26,총무과,9/29
26,총무과,9/28,내방객 접대용 음료 등 구입 경비 지출(시장),오케이마트,27,총무과,9/29
1,총무과,7/31,보훈단체 위문품 구입비 지출,대명과일,2,총무과,8/1
2,총무과,7/31,청원경찰 및 전의경 대원 격려품 구입(시장),대명과일,3,총무과,8/1
3,총무과,7/31,예산정책 협의회 참석 실국장 격려 간담회,부산갈비,4,총무과,8/1
4,총무과,8/1,국비확보 관련 기획재정부 방문 참석자 격려,추풍령휴게소,5,총무과,8/2
5,총무과,8/1,국비확보 관련 기획재정부 방문 참석자 격려,상리식당,6,총무과,8/2
6,총무과,8/2,내방객 접대용 음료 등 구입 경비지출(시장),오케이마트,7,총무과,8/3
7,총무과,8/2,비서실 직원 격려,한울식당,8,총무과,8/3
8,총무과,8/3,공산 야행 걷기 대회 참여직원 격려,부림산채,9,총무과,8/4
9,총무과,8/4,협회장기 태권도 품세겨루기 대회 참여직원 격려,현대옥,10,총무과,8/5
10,총무과,8/6,비서실 직원 격려,윤가네식당,11,총무과,8/7
11,총무과,8/7,대구경북 상생관련 간담회,동심각,12,"총무과   
 총무과","8/8   
 8/8"
12,총무과,8/8,중부경찰서장 축하화환 구입,제우스플라워,13,총무과,8/9
13,총무과,8/8,혁신성장 관계장관 회의 겸 시도지사 회의 참여 직원 격려,"대신기업㈜
칠곡영업소",14,총무과,8/9
14,총무과,8/10,시정주요현안 간담회,가야성,15,총무과,8/11
15,총무과,8/10,시정 주요현안 간담회,편대장영화식당,16,총무과,8/11
16,총무과,8/12,민선7기 시정혁신 방안 간담회,백림정,17,총무과,8/13
17,총무과,8/14,내방객 접대용 음료 등 구입경비 지출,시루원외1,18,총무과,8/15
18,총무과,8/16,대학생 인턴체험 공유마당 참여 직원격려,엄마손칼국수,19,총무과,8/17
19,총무과,8/16,치맥페스티벌 해단식에 따른 간담회 비용지출,자금성,20,총무과,8/17
20,총무과,8/17,간부공무원 만찬 간담회 개최,아라한정식,21,총무과,8/18
21,총무과,8/17,비서실 직원 격려,치킨호감,22,총무과,8/18
22,총무과,8/23,태풍대비 상황실 근무자 격려,통영충무김밥,23,총무과,8/24
23,총무과,8/23,상수도과불화 화합물 검출 관련 대책회의 참석자 격려,동해복어,24,총무과,8/24
24,총무과,8/24,시정주요 현안 논의를 위한 간담회 경비 지출,만보가,25,총무과,8/25
25,총무과,8/28,내방객 접대용 음료 등 구입 경비 지출(시장),오케이마트,26,총무과,8/29
26,총무과,8/29,시정방안 논의를 위한 간담회 경비 지출,인터불고호텔,27,총무과,8/30
27,총무과,8/29,시민원탁회의 참석 직원 격려,새만동식당,28,총무과,8/30
28,총무과,8/30,제8기 시의회 원구성에 따른 간담회 경비 지출,중화반점,29,총무과,8/31
1,총무과,7/1,민선7기 출범에 따른 시정현안 논의,자금성,2,총무과,7/2
2,총무과,7/3,시정 주요현안 논의를 위한 간담회,해덕한우,3,총무과,7/4
3,총무과,7/3,시정현안 추진 관련 간담회,낙영찜갈비,4,총무과,7/4
4,총무과,7/4,사회적기업 카페 개소식 관련 직원 격려,부림산채,5,총무과,7/5
5,총무과,7/5,내방객 접대용 음료 등 구입,오케이마트 외1,6,총무과,7/6
6,총무과,7/5,시의회 의장 취임 축하화환 구입,제우스플라워,7,총무과,7/6
7,총무과,7/5,대구미래비전2030위원회 격려 만찬,만보가,8,총무과,7/6
8,총무과,7/5,시정현안 논의를 위한 간담회,청맥식당,9,총무과,7/6
9,총무과,7/6,메디엑스포 개막식 참석 직원 격려,본도시락 대구엑스코점,10,총무과,7/7
10,총무과,7/6,시정현안 논의를 위한 간담회,티원서울역점,11,총무과,7/7
11,총무과,7/9,비서실 직원 격려,동해복어,12,총무과,7/10
12,총무과,7/9,민선7기 시정현안 간담회,안동국시,13,총무과,7/10
13,총무과,7/12,한국지방신문협회 편집국장 회의 참석자 격려,대어초밥,14,총무과,7/13
14,총무과,7/12,시정 주요현안 논의 관련 간담회,그랜드관광호텔,15,총무과,7/13
15,총무과,7/14,사회적경제박람회 참석자 오찬,아미정,16,총무과,7/15
16,총무과,7/16,상하수도협회 파견근무자 격려,꿈을요리하다닭한끼침산점,17,총무과,7/17
17,총무과,7/17,"명예퇴직,공로연수 대상 공무원 간담회 개최에 따른 급식비 지출",낙영찜갈비,18,총무과,7/18
18,총무과,7/20,초복맞이 직원 격려품(수박)구입,대명과일,19,총무과,7/21
19,총무과,7/23,해병대 순직 장병 합동영결식 참석 직원 격려,씨앤에스에너지(주)영천,20,총무과,7/24
20,총무과,7/24,시정 주요현안 논의를 위한 간담회,자금성,21,총무과,7/25
21,총무과,7/25,도시철도 운영관리 협약 체결에 따른 간담회,코레일유통㈜대구지점,22,총무과,7/26
22,총무과,7/30,시정현안 추진관련 간담회,만보가,23,총무과,7/31
1,총무과,6/19,내방객 접대용 음료 등 구입,오케이마트 외1,2,총무과,6/20
2,총무과,6/21,국비확보 추진을 위한 의원초청 간담회,키사라,3,총무과,6/22
3,총무과,6/22,제7기 시정방향 설정을 위한 전문가 의견 청취,봉산집,4,총무과,6/23
4,총무과,6/24,시정현안 논의를 위한 간담회,온돌방,5,총무과,6/25
5,총무과,6/29,시정주요현안 관련 언론인 간담회,대어초밥,6,총무과,6/30
1,총무과,5/2,DGIST innovation2034 행사 참석직원 격려 간담회,부림산채,2,총무과,5/3
3,총무과,5/2,내방객 접대용 음료 등 구입,오케이마트,4,총무과,5/3
2,총무과,5/8,미래자동차 산업추진 관련 관계공무원 간담회,그랜드관광호텔,3,총무과,5/9
4,총무과,5/9,내방객 접대용 음료 등 구입,오케이마트 외1,5,총무과,5/10
4,총무과,5/9,소방안전본부 직원격려 간담회,벙글벙글,5,총무과,5/10
1,총무과,4/13,새마을의 날 기념식 참석 직원 격려 간담회,홍짜장,2,총무과,4/14
2,총무과,4/14,팔공산 벚꽃축제 참석직원 격려 간담회,만솥,3,총무과,4/15
3,총무과,4/17,서상돈상참석 직원 격려 간담회,인터불고,4,총무과,4/18
4,총무과,4/18,내방객 접대용 음료 등 구입,오케이마트 외1,5,총무과,4/19
5,총무과,4/20,장애인의날 기념식 참석 직원 격려 간담회,칠성동할매콩국수,6,총무과,4/21
6,총무과,4/23,서대구역 기공 관련 담당부서 격려 간담회,송정가든,7,총무과,4/24
7,총무과,4/24,고용노사민정협의회 관련 담당부서 격려 간담회,안동갈비,8,총무과,4/25
8,"총무과   
 총무과",4/25,소방안전박람회 참석 직원 격려 간담회,서산국밥,9,총무과,4/26
1,총무과,3/3,시장기 생활체육볼링대회 행사관련 직원격려 간담회,이화국수,2,총무과,3/4
2,총무과,3/4,통합공항 이전 추진 관계부서 직원 격려 간담회,온돌방,3,총무과,3/5
3,총무과,3/5,시정주요 현안 논의 간담회,청산,4,총무과,3/6
4,총무과,3/6,내방객 접대용 음료 등 구입,오케이마트 외1,5,총무과,3/7
5,총무과,3/6,시민대학 등 시정참여 관련 협조 간담회,대봉가든,6,총무과,3/7
6,총무과,3/9,예총회장단 간담회 참석직원 격려,2호집,7,총무과,3/10
7,"총무과   
 총무과",3/9,달빛내륙철도 경유지 지자체장 협의회 출범식 관련 간담회 경비 지출,㈜즐거운세상인터불고 호텔,8,총무과,3/10
8,총무과,3/13,원로자문협의회 간담회 참석직원 격려,시골어탕,9,총무과,3/14
9,총무과,3/14,대구군공항 이전부지 선정위원회 추진관련 직원격려 간담회,뜸방이와묵은김치,10,총무과,3/15
10,"총무과   
 총무과",3/15,행사 참여 직원 격려 간담회,동아쌈밥&찜,11,총무과,3/16
11,총무과,3/16,JC전국회원대회 관계부서 직원 격려 간담회,동해복어,12,총무과,3/17
12,"총무과   
 총무과",3/18,생활체육 배드민턴 대회 참가 직원 격려 간담회,가야성,13,총무과,3/19
13,"총무과   
 총무과",3/20,내방객 접대용 음료 등 구입,오케이마트 외2,14,총무과,3/21
14,"총무과   
 총무과",3/23,세계물의날 기념식 관련 부서 직원 격려 간담회,안동갈비,15,총무과,3/24
15,"총무과   
 총무과",2/28,사립유치원 연합회 신년교례회 행사관련 직원 격려 간담회,곽옥자삼대곰탕,"16   
 16",총무과,3/1
1,총무과,1/31,축제육성관련 관계 부서 만찬 간담회,만보가,2,총무과,2/1
2,총무과,1/31,내방객 접대용 음료구입,오케이마트 외 1,3,총무과,2/1
3,총무과,2/2,주요 시정현안 관련 간담회,키사라,4,총무과,2/3
4,총무과,2/3,주요 시정현안 관련 간담회,울진참가자미,5,총무과,2/4
5,총무과,2/5,문화관광해설사회 중앙회장 취임식 참석 직원 격려,통영충무김밥,6,총무과,2/6
6,총무과,2/6,전의경대원 격려금,대구지방경찰청,7,총무과,2/7
7,"총무과   
 총무과",2/8,JC임원단 간담회 참석 직원 격려,푸주옥 도가니탕 꼬리곰탕,8,총무과,2/9
8,총무과,2/8,평창동계올림픽 대비 체육회 직원 격려,예원,9,총무과,2/9
9,"총무과   
 총무과",2/9,평창동계올림픽 개막식 참석 직원 격려,㈜광동유통안동하휴게소,10,총무과,2/10
10,"총무과   
 총무과",2/9,평창동계올림픽 개막식 참석 직원 격려,도암식당,11,총무과,2/10
11,"총무과   
 총무과",2/9,내방객 접대용 음료구입,오케이마트 외 1,12,총무과,2/10
12,"총무과   
 총무과",2/13,평창동계올림픽 대구의 날 참석 직원 격려,㈜광동유통안동하휴게소,13,총무과,2/14
13,총무과,2/13,설 연휴 상황근무자 격려금,달서소방서 외2,14,총무과,2/14
14,총무과,2/13,시정 주요 현안관련 언론인 간담회,청해복어,15,총무과,2/14
15,"총무과   
 총무과","2/14   
 2/14",설연휴 상황 및 현업근무자 위문품 구입,대구농특산물유통대구,16,총무과,2/15
16,총무과,2/14,주요 시정 주요현안 논의 관련 언론사 간담회,아트리움,17,총무과,2/15
17,총무과,2/14,설 관련 지역원로 홍보품 구입,약령시사람들,18,총무과,2/15
18,총무과,2/17,주요 시정현안 논의 간담회,새불로숯불막창,19,총무과,2/18
19,"총무과   
 총무과","2/18   
 2/18",2.18 지하철 화재 추모식 참석 직원 격려,밀양돼지국밥,"20   
 20",총무과,2/19
20,"총무과   
 총무과",2/19,내방객 접대용 음료구입,오케이마트,21,총무과,2/20
21,총무과,2/19,직원격려 간담회,포시즌스,22,총무과,2/20
22,총무과,2/19,기업유치 관련 업무협의 간담회,포시즌스,23,총무과,2/20
23,총무과,2/20,대구광역시교통단체연합회 간담회,만리장성,24,총무과,2/21
24,총무과,2/21,제2회 대구시민주간 참석자 오찬 경비,국화정원,25,총무과,2/22
25,총무과,2/24,약사회 정기 대의원 총회 참석 직원 격려,오복미역범어점,26,총무과,2/25
26,총무과,2/24,행사 참석직원 격려 간담회,신세계분식,27,총무과,2/25
27,총무과,2/26,직원격려 간담회,동인삼계탕,28,총무과,2/27
28,총무과,2/27,행사 참석직원 격려 간담회,동심각,29,총무과,2/28
1,"총무과   
 총무과","1/3   
 1/3",주요시정현안 관련 간담회,진주,"2   
 2",총무과,1/4
2,총무과,1/9,2018년 적십자 특별회비,대한적십자사 대구광역지사,3,총무과,1/10
3,총무과,1/9,신천프로젝트 추진관련 간담회,만보가,4,총무과,1/10
4,총무과,1/10,언론인 초청 간담회,동해복어,5,총무과,1/11
5,총무과,1/11,내방객 접대용 음료구입,오케이마트 외 1,6,총무과,1/12
6,총무과,1/11,서민경제관련 간담회,명성식육식당,7,총무과,1/12
7,총무과,1/11,주요시정현안 관련 간담회,삼덕에비뉴,8,총무과,1/12
8,총무과,1/13,대구 관광활성화관련 간담회,동해복어,9,총무과,1/14
9,총무과,1/14,주요시정현안 관련 간담회,옥야식당,10,총무과,1/15
10,총무과,1/15,미래형 자동차관련 간담회,동인삼계탕,11,총무과,1/16
11,총무과,1/16,대구 여성단체 간담회,인터불고,12,총무과,1/17
12,총무과,1/16,직원 격려 간담회,도토리,13,총무과,1/17
13,총무과,1/17,주요 시정현안 관련 간담회,외백,14,총무과,1/18
14,총무과,"1/17   
 1/17",주요 시정현안 관련 간담회,엠호텔,15,총무과,1/18
15,총무과,1/18,직원 격려 간담회,행복제면소,16,총무과,1/19
16,총무과,1/19,섬유산업 발전관련 간담회,오복미역,17,총무과,1/20
17,총무과,1/21,주요 시정현안 관련 간담회,동해횟집,18,총무과,1/22
18,총무과,1/22,주민참여 예산제 확산 관련 구의원 간담회,송정가든,19,총무과,1/23
19,총무과,1/24,전통시장 활성화를 뤼한 상인초청 간담회,아라한정식,20,총무과,1/25
20,총무과,1/25,장애인 체육회 이사회 참석 직원 격려 간담회,온돌방,21,총무과,1/26
21,총무과,1/26,지역현안 관련 언론사주 초청 간담회,아트리움,22,총무과,1/27
22,총무과,1/29,예총회장 퇴임관련 예술인 간담회,하촌식당,23,총무과,1/30
23,총무과,1/30,주민참여예산 관련 직원 간담회,안동갈비,24,총무과,1/31
24,총무과,1/30,영호남 시도지사 협의회 참석 직원 격려 간담회,할매국밥,25,총무과,1/31
25,총무과,1/30,설맞이 전통시장 활성화 관련 온누리 상품권 구입,온누리상품권,26,총무과,1/31
1,총무과,12/1,동아시아 문화도시 관련 간담회,안동갈비,2,총무과,12/2
2,총무과,12/2,직원 격려 간담회,탐앤탐스,3,총무과,12/3
3,총무과,12/3,직원 격려 간담회,김동일쉐프의만선,4,총무과,12/4
4,총무과,12/4,시정공감 현장소통 관련 간담회,명동,5,총무과,12/5
5,총무과,12/5,바이오 소재산업 간담회,부림산채,6,총무과,12/6
6,총무과,12/6,선도의료기관 관련 간담회,오복미역,7,총무과,12/7
7,총무과,12/7,내방객 접대용 음료 등 구입,오케이마트 외 1,8,총무과,12/8
8,총무과,12/7,재난안전 워크숍 관련 간담회,동이식당,9,총무과,12/8
9,총무과,12/7,직원 격려 간담회,윤가네식당,10,총무과,12/8
10,총무과,12/8,포항 지진피해관련 지원방안 간담회,구내식당,11,총무과,12/9
11,총무과,12/8,송년사 및 신년사 관련 간담회,카페무아,12,총무과,12/9
12,총무과,12/8,직원 격려 간담회,장원식당,13,총무과,12/9
13,총무과,12/9,주요 시정현안 논의 간담회,아라한정식,14,총무과,12/10
14,총무과,12/9,주요 시정현안 논의 간담회,은정감자탕,15,총무과,12/10
15,총무과,12/12,시민원탁 회의 관련 간담회,명성식육식당,16,총무과,12/13
16,총무과,12/12,중소기업 및 중소상공인 지원 관련 간담회,장원부대찌게,17,총무과,12/13
17,총무과,12/13,지역 택시관련 간담회,안동갈비,18,총무과,12/14
18,총무과,12/14,교육 현안관련 간담회,고령촌돼지찌개,19,총무과,12/15
19,총무과,12/14,직원 격려 간담회,마루,20,총무과,12/15
20,총무과,12/15,2017 크리스마스 씰 성금,대한결핵협회대구경북지부,21,총무과,12/16
21,총무과,12/15,내방객 접대용 음료 등 구입,오케이마트 외,22,총무과,12/16
22,총무과,12/15,2018년 업무계획 보고 워크숍 직원 격려 간담회,육일해물찜,23,총무과,12/16
23,총무과,12/15,2018년 업무계획 보고 워크숍 직원 격려 간담회,바다원횟집,24,총무과,12/16
24,총무과,12/15,주요 시정현안 관련 간담회,켄싱턴호텔,25,총무과,12/16
25,총무과,12/15,주요 시정현안 관련 간담회,가시리,26,총무과,12/16
26,총무과,12/16,2018년 업무계획 보고 워크숍 직원 격려 간담회,해양회대게센타,27,총무과,12/17
27,총무과,12/19,직원 격려 간담회,윤가네식당,28,총무과,12/20
28,총무과,12/19,직원 격려 간담회,동보성,29,총무과,12/20
29,총무과,12/20,직원 격려 간담회,안동국시,30,총무과,12/21
30,총무과,12/21,지역 우수제품 홍보를 위한 특산품 구입,시선,31,총무과,12/22
31,총무과,12/21,지역원로 오찬 간담회,아트리움,32,총무과,12/22
32,총무과,12/22,주민 참여 에산 간담회,명성식육식당,33,총무과,12/23
33,총무과,12/23,통합 대구공항 이전관련 간담회,동봉,34,총무과,12/24
34,총무과,12/23,주요 시정현안 관련 간담회,반야월연근사랑협동조합,35,총무과,12/24
35,총무과,12/24,시정현안 관련 간담회,아라한정식,36,총무과,12/25
36,총무과,12/26,노사 소통과 화합을 위한 노조대표 간담회,온돌방,37,총무과,12/27
37,총무과,12/26,주요 시정현안 관련 간담회,해금강,38,총무과,12/27
38,총무과,12/27,2017 연말 직원 격려품 구입,웬떡이야,39,총무과,12/28
39,총무과,12/27,2017 연말 직원 격려품 구입,동촌농협,40,총무과,12/28
40,총무과,12/28,2018년 시무식 행사관련 다과 구입,행복한 한과 외,41,총무과,12/29
41,총무과,12/29,송년 간담회,파티온,42,총무과,12/30
1,총무과,11/2,청사 보안 및 질서유지 관련 간담회,미가도,2,총무과,11/3
2,총무과,11/3,공무원 가을산해 행사 격려 음료 구입,오케이마트,3,총무과,11/4
3,총무과,11/3,직원격려 간담회,풍원장,4,총무과,11/4
4,총무과,11/4,직원격려 간담회,현대옥,5,총무과,11/5
5,총무과,11/4,직원격려 간담회,동이식당,6,총무과,11/5
6,총무과,11/6,지역 우수제품 홍보를 위한 특산품 구입,구미요,7,총무과,11/7
7,총무과,11/6,언론인 초청 간담회,감포은정복어,8,총무과,11/7
8,총무과,11/9,중소기업인 대회 준비관련 간담회,명성식육식당,9,총무과,11/10
9,총무과,11/9,지역 우수제품 홍보를 위한 특산품 구입,화선,10,총무과,11/10
10,총무과,11/9,체육 발전방안 모색 간담회,호텔수성,11,총무과,11/10
11,총무과,11/10,스마트 광통신센터 개소식 관련 간담회,한울식당,12,총무과,11/11
12,총무과,11/14,시정 주요현안 논의 간담회,짓네스시,13,총무과,11/15
13,총무과,11/16,RUN 2017 행사 참여 직원 격려 간담회,하나해물탕,14,총무과,11/17
14,총무과,11/17,직원격려 간담회,씨엔에스,15,총무과,11/18
15,총무과,11/17,주요 시정현안 관련 간담회,돌고래,16,총무과,11/18
16,총무과,11/18,직원격려 간담회,육가,17,총무과,11/19
17,총무과,11/21,직원격려 간담회,뜸팡이와 묵은김치,18,총무과,11/22
18,총무과,11/21,통합 공항 이전관련 간담회,코리아니호텔,19,총무과,11/22
19,총무과,11/22,미래자동차 엑스포준비 관련 직원 격려 간담회,명성식육식당,20,총무과,11/23
20,총무과,11/22,직원격려 간담회,현대옥,21,총무과,11/23
21,총무과,11/23,내방객 접대용 음료 등 구입,ok마트 외 1,22,총무과,11/24
