연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
24,총무과,2020-07-19,주요시책 관련 간담회 경비 지출,청도매운탕다슬기본가,25,총무과,2020-07-20
25,총무과,2020-07-20,주요 시정현안 관련 홍보간담회 경비 지출,소풍가는길,26,총무과,2020-07-21
26,총무과,2020-07-22,대구 경북 상생관련 주요시책 간담회 경비 지출,산성골오리궁뎅이,27,총무과,2020-07-23
27,총무과,2020-07-22,비서실 직원 격려 간담회 경비 지출,뜨돈,28,총무과,2020-07-23
28,총무과,2020-07-23,주요 시정현안 관련 홍보간담회 경비 지출,통영충무김밥,29,총무과,2020-07-24
29,총무과,2020-07-23,주요시책 관련 간담회 경비 지출,언양불고기,30,총무과,2020-07-24
30,총무과,2020-07-24,코로나19 및 주요시책 관련 간담회 경비 지출,안압정갈비식당,31,총무과,2020-07-25
31,총무과,2020-07-27,직원 격려 간담회 경비 지출,부림산채,32,총무과,2020-07-28
32,총무과,2020-07-28,감염병관리과 직원 격려 간담회 경비 지출,벱하노이,33,총무과,2020-07-29
33,총무과,2020-07-29,코로나19 관련 직원 격려 간담회 경비 지출,온돌방,34,총무과,2020-07-30
34,총무과,2020-07-31,주요 시정현안 관련 홍보간담회 경비 지출,해덕한우,35,총무과,2020-08-01
1,총무과,"6/1   
 6/1",내방객 접대용 음료 등 구입,(주)신세계페이먼츠외 1,2,총무과,6/2
2,총무과,6/1,근조화세트 구입,가나아트,3,총무과,6/2
3,총무과,6/2,코로나19 관련 직원 격려 간담회 경비 지출,민수사(침산점),4,총무과,6/3
14,총무과,6/2,코로나19 관련 정책간담회 경비 지출,원할머니보쌈,15,총무과,6/3
4,총무과,6/3,코로나19 관련 직원 격려 간담회 경비 지출,js가든,5,총무과,6/4
5,총무과,6/5,코로나19 대응 직원 격려 경비 지출,언양불고기,6,총무과,6/6
16,총무과,6/5,코로나19 관련 정책간담회 경비 지출,동보성,17,총무과,6/6
15,총무과,6/6,코로나19 관련 정책간담회 경비 지출,다리골식당,16,총무과,6/7
17,총무과,"6/8   
 6/8",코로나19 관련 정책간담회 경비 지출,피에프창,18,총무과,6/9
18,총무과,6/9,코로나19 관련 홍보간담회 경비 지출,호키츠네,19,총무과,6/10
6,총무과,6/9,코로나19 관련 직원 격려 간담회 경비 지출,민수사(침산점),7,총무과,6/10
19,총무과,6/12,코로나19 관련 홍보간담회 경비 지출,삼수장어,20,총무과,6/13
7,총무과,6/15,코로나19 대응관련 간담회 경비 지출,삼수장어,8,총무과,6/16
8,총무과,6/16,코로나19 관련 직원 격려 간담회 경비 지출,뜨돈,9,총무과,6/17
9,총무과,6/18,서울본부 직원 격려 간담회 경비 지출,장독대김치찌개,10,총무과,6/19
20,총무과,6/19,코로나19 및 시정현안 홍보간담회 경비 지출,삼수장어,21,총무과,6/20
21,총무과,6/20,코로나19 및 주요 시정현안 관련 정책간담회 경비 지출,심비디움,22,총무과,6/21
22,총무과,6/22,코로나19 관련 홍보간담회 경비 지출,삼수장어,23,총무과,6/23
10,총무과,6/23,비서실 직원 격려 간담회 경비 지출,현대옥경대병원점,11,총무과,6/24
11,총무과,6/24,코로나19 관련 직원 격려 간담회 경비 지출,막창도둑,12,총무과,6/25
12,총무과,6/25,비서실 직원 격려 간담회 경비 지출,대정옥,13,총무과,6/26
13,총무과,6/25,혁신성장국 직원 격려 간담회 경비 지출,카페동이,14,총무과,6/26
24,총무과,6/27,코로나19 및 주요 시정현안 관련 정책간담회 경비 지출,만보복집,25,총무과,6/28
25,총무과,6/30,코로나19 및 주요 시정현안 관련 정책간담회 경비 지출,삼수장어,26,총무과,7/1
1,총무과,"5/1   
 5/1",코로나19 관련 간담회 경비 지출,덕촌식당,2,총무과,5/2
2,총무과,5/1,코로나19 관련 직원 격려 간담회 경비 지출,공서방손칼국수,3,총무과,5/2
3,총무과,5/3,코로나19 관련 직원 격려 간담회 경비 지출,주식회사 카페동이,4,총무과,5/4
4,총무과,5/4,코로나19 관련 직원 격려 간담회 경비 지출,js가든,5,총무과,5/5
5,총무과,5/4,코로나19 관련 직원 격려 간담회 경비 지출,왕건이집,6,총무과,5/5
6,총무과,5/5,코로나19 관련 직원 격려 간담회 경비 지출,개정,7,총무과,5/6
7,총무과,5/5,코로나19 관련 직원 격려 간담회 경비 지출,식도관,8,총무과,5/6
8,총무과,5/6,코로나19 관련 직원 격려 간담회 경비 지출,마늘칼국수,9,총무과,5/7
9,총무과,5/6,내방객 접대용 음료 등 구입,통통과일(대구점)외 1,10,총무과,5/7
10,총무과,5/7,코로나19 관련 직원 격려 간담회 경비 지출,피에프창,11,총무과,5/8
11,총무과,5/7,선결제 등을 통한 내부 보완방안 후속조치,통영충무김밥,12,총무과,5/8
12,총무과,5/7,선결제 등을 통한 내부 보완방안 후속조치,경복궁,13,총무과,5/8
13,총무과,5/7,선결제 등을 통한 내부 보완방안 후속조치,온돌방,14,총무과,5/8
14,총무과,5/7,선결제 등을 통한 내부 보완방안 후속조치,언양불고기,15,총무과,5/8
15,총무과,5/7,코로나19 관련 직원 격려 간담회 경비 지출,공서방손칼국수,16,총무과,5/8
